experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value
B,before,linear_svc,4,42,130,160,0.00889324099989608,0.004210210999644914,accuracy,0.76875
B,before,linear_svc,4,42,130,160,0.00889324099989608,0.004210210999644914,f1_macro,0.7661095966180712
B,before,random_forest,4,42,130,160,0.12935686100036037,0.010149251999791886,accuracy,0.81875
B,before,random_forest,4,42,130,160,0.12935686100036037,0.010149251999791886,f1_macro,0.818572825024438
B,before,knn,4,42,130,160,0.007066915999985213,0.0046693240001332015,accuracy,0.78125
B,before,knn,4,42,130,160,0.007066915999985213,0.0046693240001332015,f1_macro,0.7802111542839201
B,after,logistic_regression,4,42,640,160,0.011678160999963438,0.005099580999740283,accuracy,0.8125
B,after,logistic_regression,4,42,640,160,0.011678160999963438,0.005099580999740283,f1_macro,0.8122359568142701
B,after,linear_svc,4,42,640,160,0.01368805699985387,0.005119863999880181,accuracy,0.80625
B,after,linear_svc,4,42,640,160,0.01368805699985387,0.005119863999880181,f1_macro,0.8058784392000313
B,after,random_forest,4,42,640,160,0.1663840880000862,0.011161031000028743,accuracy,0.875
B,after,random_forest,4,42,640,160,0.1663840880000862,0.011161031000028743,f1_macro,0.875
B,after,knn,4,42,640,160,0.011831297000298946,0.0077114330001677445,accuracy,0.85625
B,after,knn,4,42,640,160,0.011831297000298946,0.0077114330001677445,f1_macro,0.8561994451174242
