condition,model,fold,feature,importance,rank
after,logistic_regression,1,area error,-0.0020467836257310338,11.0
after,logistic_regression,1,compactness error,-0.0026315789473684514,12.0
after,logistic_regression,1,concave points error,0.0023391812865496816,3.0
after,logistic_regression,1,concavity error,-0.0014619883040935867,9.0
after,logistic_regression,1,fractal dimension error,0.015204678362573044,1.0
after,logistic_regression,1,mean area,-0.003508771929824591,13.0
after,logistic_regression,1,mean compactness,-0.009064327485380157,28.0
after,logistic_regression,1,mean concave points,-0.0017543859649123195,10.0
after,logistic_regression,1,mean concavity,-0.0038011695906433125,16.0
after,logistic_regression,1,mean fractal dimension,-0.00643274853801172,24.0
after,logistic_regression,1,mean perimeter,-0.003801169590643298,15.0
after,logistic_regression,1,mean radius,-0.003508771929824591,13.0
after,logistic_regression,1,mean smoothness,-0.0008771929824561616,7.0
after,logistic_regression,1,mean symmetry,-0.005555555555555573,20.0
after,logistic_regression,1,mean texture,-0.00730994152046787,26.0
after,logistic_regression,1,perimeter error,-3.3306690738754695e-17,5.0
after,logistic_regression,1,radius error,0.003801169590643235,2.0
after,logistic_regression,1,smoothness error,-0.0005847953216374547,6.0
after,logistic_regression,1,symmetry error,-0.016374269005848003,30.0
after,logistic_regression,1,texture error,-0.005555555555555573,20.0
after,logistic_regression,1,worst area,-0.0058479532163743094,23.0
after,logistic_regression,1,worst compactness,0.0,4.0
after,logistic_regression,1,worst concave points,-0.005847953216374306,22.0
after,logistic_regression,1,worst concavity,-0.005263157894736877,18.0
after,logistic_regression,1,worst fractal dimension,-0.015204678362573143,29.0
after,logistic_regression,1,worst perimeter,-0.006432748538011734,25.0
after,logistic_regression,1,worst radius,-0.00380116959064332,17.0
after,logistic_regression,1,worst smoothness,-0.008771929824561446,27.0
after,logistic_regression,1,worst symmetry,-0.00087719298245618,8.0
after,logistic_regression,1,worst texture,-0.005263157894736881,19.0
after,logistic_regression,2,area error,0.005263157894736855,12.0
after,logistic_regression,2,compactness error,-0.00409356725146199,25.0
after,logistic_regression,2,concave points error,0.0017543859649122862,19.0
after,logistic_regression,2,concavity error,0.0,20.0
after,logistic_regression,2,fractal dimension error,-0.00614035087719299,28.0
after,logistic_regression,2,mean area,0.004385964912280715,15.0
after,logistic_regression,2,mean compactness,-0.011403508771929811,30.0
after,logistic_regression,2,mean concave points,0.011403508771929844,8.0
after,logistic_regression,2,mean concavity,0.016081871345029253,4.0
after,logistic_regression,2,mean fractal dimension,-0.0067251461988304005,29.0
after,logistic_regression,2,mean perimeter,0.00467836257309943,13.0
after,logistic_regression,2,mean radius,0.0035087719298245723,17.0
after,logistic_regression,2,mean smoothness,0.0,20.0
after,logistic_regression,2,mean symmetry,0.0,20.0
after,logistic_regression,2,mean texture,0.004678362573099422,14.0
after,logistic_regression,2,perimeter error,0.004385964912280712,16.0
after,logistic_regression,2,radius error,0.012280701754385984,6.0
after,logistic_regression,2,smoothness error,0.0020467836257310004,18.0
after,logistic_regression,2,symmetry error,-0.00526315789473684,26.0
after,logistic_regression,2,texture error,-0.006140350877192983,27.0
after,logistic_regression,2,worst area,0.00906432748538013,10.0
after,logistic_regression,2,worst compactness,-0.0014619883040935717,24.0
after,logistic_regression,2,worst concave points,0.011695906432748553,7.0
after,logistic_regression,2,worst concavity,0.02046783625730996,2.0
after,logistic_regression,2,worst fractal dimension,-0.0005847953216374288,23.0
after,logistic_regression,2,worst perimeter,0.008479532163742705,11.0
after,logistic_regression,2,worst radius,0.011403508771929837,9.0
after,logistic_regression,2,worst smoothness,0.01783625730994154,3.0
after,logistic_regression,2,worst symmetry,0.012280701754385993,5.0
after,logistic_regression,2,worst texture,0.03245614035087721,1.0
after,logistic_regression,3,area error,0.015789473684210506,3.0
after,logistic_regression,3,compactness error,0.008187134502923972,14.0
after,logistic_regression,3,concave points error,0.0038011695906432865,18.0
after,logistic_regression,3,concavity error,0.0,26.0
after,logistic_regression,3,fractal dimension error,0.008771929824561408,13.0
after,logistic_regression,3,mean area,0.005555555555555558,15.0
after,logistic_regression,3,mean compactness,0.003216374269005858,21.0
