condition,model,feature,pi_mean,pi_std,n_observations,top10_fold_count
before,knn,fractal dimension error,0.0,0.0,150,5
before,knn,mean area,0.11061998654453244,0.06067255910058096,150,5
before,knn,mean compactness,0.0,0.0,150,5
before,knn,mean concave points,0.0,0.0,150,5
before,knn,mean concavity,0.0,0.0,150,5
before,knn,mean fractal dimension,0.0,0.0,150,5
before,knn,mean perimeter,0.0016410495264710463,0.0051256932977560305,150,4
before,knn,mean radius,0.0,0.0,150,5
before,knn,mean smoothness,0.0,0.0,150,5
before,knn,mean symmetry,0.0,0.0,150,5
before,knn,mean texture,0.00046783625730994295,0.0019776323180571266,150,5
before,knn,perimeter error,0.0,0.0,150,5
before,knn,radius error,0.0,0.0,150,5
before,knn,smoothness error,0.0,0.0,150,5
before,knn,symmetry error,0.0,0.0,150,5
before,knn,texture error,0.0,0.0,150,5
before,knn,worst area,0.3814423226207111,0.04568928561009901,150,5
before,knn,worst compactness,0.0,0.0,150,5
before,knn,worst concave points,0.0,0.0,150,5
before,knn,worst concavity,0.0,0.0,150,5
before,knn,worst fractal dimension,0.0,0.0,150,5
before,knn,worst perimeter,0.0032872742327795966,0.008786733249110197,150,3
before,knn,worst radius,0.0,0.0,150,5
before,knn,worst smoothness,0.0,0.0,150,5
before,knn,worst symmetry,0.0,0.0,150,5
before,knn,worst texture,0.0031056254204833702,0.004215548479861974,150,5
before,linear_svc,area error,0.08901568079490761,0.05767136636474119,150,5
before,linear_svc,compactness error,0.0,0.0,150,3
before,linear_svc,concave points error,0.0,0.0,150,3
before,linear_svc,concavity error,0.0,0.0,150,3
before,linear_svc,fractal dimension error,0.0,0.0,150,3
before,linear_svc,mean area,0.14397350307923198,0.13831414240525,150,4
before,linear_svc,mean compactness,5.847953216374287e-05,0.0012433103684952934,150,2
before,linear_svc,mean concave points,0.0002923976608187144,0.0015798846815178375,150,3
before,linear_svc,mean concavity,-0.0004109092790974496,0.004110895349066729,150,1
before,linear_svc,mean fractal dimension,0.0,0.0,150,3
before,linear_svc,mean perimeter,0.3041675723231382,0.085156630971353,150,5
before,linear_svc,mean radius,0.12851679345857267,0.04368632375186682,150,5
before,linear_svc,mean smoothness,0.0,0.0,150,3
before,linear_svc,mean symmetry,0.00017543859649122863,0.0012321843249038348,150,3
before,linear_svc,mean texture,-0.0012332453552761048,0.014974536784156669,150,2
before,linear_svc,perimeter error,1.5525539512288114e-06,0.011732545589643725,150,2
before,linear_svc,radius error,-0.00040935672514620013,0.002116386746668931,150,2
before,linear_svc,smoothness error,0.0,0.0,150,3
before,linear_svc,symmetry error,0.0,0.0,150,3
before,linear_svc,texture error,0.011872897583190996,0.01899848466266021,150,4
before,linear_svc,worst area,0.3446995808104331,0.17377633212269677,150,5
before,linear_svc,worst compactness,-0.00310614293846712,0.004791593287430204,150,0
before,linear_svc,worst concave points,0.00023391812865497147,0.004183686713637371,150,2
before,linear_svc,worst concavity,-0.0008854732701961436,0.008621510296355214,150,0
before,linear_svc,worst fractal dimension,0.0,0.0,150,3
before,linear_svc,worst perimeter,0.05057496247994616,0.06853479044707428,150,3
before,linear_svc,worst radius,0.024964550018113117,0.042248316731038085,150,2
before,linear_svc,worst smoothness,0.00035087719298245725,0.00172469878004009,150,3
before,linear_svc,worst symmetry,-0.0005858303576049284,0.004024715873003,150,0
before,linear_svc,worst texture,0.08036899032241368,0.0536008035803239,150,5
before,logistic_regression,area error,0.10270610153702839,0.05690468071418364,150,5
before,logistic_regression,compactness error,0.0,0.0,150,2
before,logistic_regression,concave points error,0.0,0.0,150,2
before,logistic_regression,concavity error,0.0,0.0,150,2
before,logistic_regression,fractal dimension error,0.0,0.0,150,2
before,logistic_regression,mean area,0.0847145888319619,0.04142656314355899,150,5
before,logistic_regression,mean compactness,0.00017543859649122863,0.0012321843249038348,150,2
