model,outer_fold,threshold,inner_f1,inner_precision,inner_recall,inner_balanced_accuracy
logistic_regression,1,0.6,0.43478260869565216,0.8333333333333334,0.29411764705882354,0.6446955554672916
logistic_regression,1,0.61,0.4375,0.8536585365853658,0.29411764705882354,0.6450331651904516
logistic_regression,1,0.62,0.4375,0.8536585365853658,0.29411764705882354,0.6450331651904516
logistic_regression,1,0.63,0.4430379746835443,0.8974358974358975,0.29411764705882354,0.6457083846367717
logistic_regression,1,0.64,0.445859872611465,0.9210526315789473,0.29411764705882354,0.6460459943599317
logistic_regression,1,0.65,0.4358974358974359,0.918918918918919,0.2857142857142857,0.6418443136876628
logistic_regression,1,0.66,0.4358974358974359,0.918918918918919,0.2857142857142857,0.6418443136876628
logistic_regression,1,0.67,0.4258064516129032,0.9166666666666666,0.2773109243697479,0.6376426330153939
logistic_regression,1,0.68,0.40522875816993464,0.9117647058823529,0.2605042016806723,0.629239271670856
logistic_regression,1,0.69,0.39473684210526316,0.9090909090909091,0.25210084033613445,0.6250375909985871
logistic_regression,1,0.7,0.37333333333333335,0.9032258064516129,0.23529411764705882,0.6166342296540493
logistic_regression,1,0.71,0.3624161073825503,0.9,0.226890756302521,0.6124325489817805
logistic_regression,1,0.72,0.3624161073825503,0.9,0.226890756302521,0.6124325489817805
logistic_regression,1,0.73,0.35135135135135137,0.896551724137931,0.2184873949579832,0.6082308683095115
logistic_regression,1,0.74,0.2937062937062937,0.875,0.17647058823529413,0.587222464948167
logistic_regression,1,0.75,0.28169014084507044,0.8695652173913043,0.16806722689075632,0.5830207842758981
logistic_regression,1,0.76,0.28368794326241137,0.9090909090909091,0.16806722689075632,0.5833583939990581
logistic_regression,1,0.77,0.2857142857142857,0.9523809523809523,0.16806722689075632,0.5836960037222181
logistic_regression,1,0.78,0.2857142857142857,0.9523809523809523,0.16806722689075632,0.5836960037222181
logistic_regression,1,0.79,0.2753623188405797,1.0,0.15966386554621848,0.5798319327731092
logistic_regression,1,0.8,0.26277372262773724,1.0,0.15126050420168066,0.5756302521008403
logistic_regression,1,0.81,0.26277372262773724,1.0,0.15126050420168066,0.5756302521008403
logistic_regression,1,0.82,0.23703703703703705,1.0,0.13445378151260504,0.5672268907563025
logistic_regression,1,0.83,0.183206106870229,1.0,0.10084033613445378,0.5504201680672269
logistic_regression,1,0.84,0.15503875968992248,1.0,0.08403361344537816,0.542016806722689
logistic_regression,1,0.85,0.140625,1.0,0.07563025210084033,0.5378151260504201
logistic_regression,1,0.86,0.140625,1.0,0.07563025210084033,0.5378151260504201
logistic_regression,1,0.87,0.12598425196850394,1.0,0.06722689075630252,0.5336134453781513
logistic_regression,1,0.88,0.1111111111111111,1.0,0.058823529411764705,0.5294117647058824
logistic_regression,1,0.89,0.1111111111111111,1.0,0.058823529411764705,0.5294117647058824
