experiment,condition,model,fold,seed,n_train,n_test,fit_seconds,predict_seconds,metric,value,cleaning,analyzer
D_ablation,D1,knn,3,42,5889,1472,1.1847540790004132,0.6895705410006485,f1_weighted,0.7967465891357545,neologdn,mecab_ipadic
D_ablation,D1,knn,4,42,5889,1472,1.1720235800003138,0.7019225910007663,accuracy,0.7853260869565217,neologdn,mecab_ipadic
D_ablation,D1,knn,4,42,5889,1472,1.1720235800003138,0.7019225910007663,f1_macro,0.7783196860604823,neologdn,mecab_ipadic
D_ablation,D1,knn,4,42,5889,1472,1.1720235800003138,0.7019225910007663,f1_weighted,0.7823405469965659,neologdn,mecab_ipadic
D_ablation,D2,logistic_regression,0,42,5888,1473,7.073895290999644,0.33604112200009695,accuracy,0.9110658520027155,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,0,42,5888,1473,7.073895290999644,0.33604112200009695,f1_macro,0.9044354446128374,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,0,42,5888,1473,7.073895290999644,0.33604112200009695,f1_weighted,0.9101375663814492,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,1,42,5889,1472,7.806523561999711,0.32156534800014924,accuracy,0.9191576086956522,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,1,42,5889,1472,7.806523561999711,0.32156534800014924,f1_macro,0.9131392801135321,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,1,42,5889,1472,7.806523561999711,0.32156534800014924,f1_weighted,0.918071258989965,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,2,42,5889,1472,8.376801956001145,0.3220039719999477,accuracy,0.921875,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,2,42,5889,1472,8.376801956001145,0.3220039719999477,f1_macro,0.9152373114595839,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,2,42,5889,1472,8.376801956001145,0.3220039719999477,f1_weighted,0.9210645598899461,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,3,42,5889,1472,7.141725453000618,0.34746163399904617,accuracy,0.9157608695652174,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,3,42,5889,1472,7.141725453000618,0.34746163399904617,f1_macro,0.9109348349676275,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,3,42,5889,1472,7.141725453000618,0.34746163399904617,f1_weighted,0.9150805222464252,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,4,42,5889,1472,7.494862690000446,0.45399194299898227,accuracy,0.921875,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,4,42,5889,1472,7.494862690000446,0.45399194299898227,f1_macro,0.9164093380661527,none,sudachi_core_mode_c
D_ablation,D2,logistic_regression,4,42,5889,1472,7.494862690000446,0.45399194299898227,f1_weighted,0.9210375266151019,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,0,42,5888,1473,1.7765416809997987,0.2915035200003331,accuracy,0.9355057705363204,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,0,42,5888,1473,1.7765416809997987,0.2915035200003331,f1_macro,0.9316660792040091,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,0,42,5888,1473,1.7765416809997987,0.2915035200003331,f1_weighted,0.9350092216995725,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,1,42,5889,1472,1.7912561820012343,0.34063371299998835,accuracy,0.9490489130434783,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,1,42,5889,1472,1.7912561820012343,0.34063371299998835,f1_macro,0.9455018617753246,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,1,42,5889,1472,1.7912561820012343,0.34063371299998835,f1_weighted,0.9488578725685481,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,2,42,5889,1472,1.676939916000265,0.2985152590008511,accuracy,0.9497282608695652,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,2,42,5889,1472,1.676939916000265,0.2985152590008511,f1_macro,0.9463255717576935,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,2,42,5889,1472,1.676939916000265,0.2985152590008511,f1_weighted,0.9494770281063424,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,3,42,5889,1472,1.708283845000551,0.30531754399999045,accuracy,0.9381793478260869,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,3,42,5889,1472,1.708283845000551,0.30531754399999045,f1_macro,0.9339008440257062,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,3,42,5889,1472,1.708283845000551,0.30531754399999045,f1_weighted,0.937670405704676,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,4,42,5889,1472,1.6825325850004447,0.29310543599967787,accuracy,0.9470108695652174,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,4,42,5889,1472,1.6825325850004447,0.29310543599967787,f1_macro,0.9426415584178078,none,sudachi_core_mode_c
D_ablation,D2,linear_svc,4,42,5889,1472,1.6825325850004447,0.29310543599967787,f1_weighted,0.946647352806645,none,sudachi_core_mode_c
D_ablation,D2,random_forest,0,42,5888,1473,10.625722651000615,0.4001214460004121,accuracy,0.8981670061099797,none,sudachi_core_mode_c
D_ablation,D2,random_forest,0,42,5888,1473,10.625722651000615,0.4001214460004121,f1_macro,0.877295012250434,none,sudachi_core_mode_c
D_ablation,D2,random_forest,0,42,5888,1473,10.625722651000615,0.4001214460004121,f1_weighted,0.8918127883039381,none,sudachi_core_mode_c
D_ablation,D2,random_forest,1,42,5889,1472,9.646841724999831,0.40552815700175415,accuracy,0.9089673913043478,none,sudachi_core_mode_c
D_ablation,D2,random_forest,1,42,5889,1472,9.646841724999831,0.40552815700175415,f1_macro,0.8941234917107947,none,sudachi_core_mode_c
D_ablation,D2,random_forest,1,42,5889,1472,9.646841724999831,0.40552815700175415,f1_weighted,0.904807750953149,none,sudachi_core_mode_c
D_ablation,D2,random_forest,2,42,5889,1472,9.808433832999071,0.39521599799991236,accuracy,0.9069293478260869,none,sudachi_core_mode_c
